915.110;CENCI E CIA  COD 2009-BR - AVENTAL 68 X 100 - NAPA BRANCA - CONF;ITEM INATIVO UTILIZAR MODELO C915.110
915.101;CENCI E CIA COD 2011-PT - AVENTAL 68 X 120 - NAPA PRETO - CONF;ITEM INATIVO UTILIZAR MODELO C915.101
9639G;DANFOSS - AVENTAL CIA 103605 TREVIRA REVESTIDO EM PVC - CONF1;ITEM INATIVO UTILIZAR MODELO C9639G
3515ZZ;AVENTAL LUBRIFICADOR;ITEM INATIVO UTILIZAR MODELO C3515ZZ
9764G;POSTO APOLO - AVENTAL 60 X 120 CM - UNITECH 5016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9764G
9710F;POSTO APOLO 3 - AVENTAL - UNITECH 5013 VERM -  CONF1;ITEM INATIVO UTILIZAR MODELO C9710F
9208A;UNIQUE - AVENTAL 70X120 - UNIFORTE 1014 AZ RY - CONF1;ITEM INATIVO UTILIZAR MODELO C9208A
9036H;POST ECONORTE - AVENTAL - POLYCOTTON MAIS 0001 PTO - CONF1;ITEM INATIVO UTILIZAR MODELO C9036H
9033H;POSTO PAYOL - AVENTAL - UNILESTER SOFT 2021 CAQUI - CONF1;ITEM INATIVO UTILIZAR MODELO C9033H
9538G;ADAMI - AVENTAL - UNILESTER 2018 MARINHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9538G
9999G;EMENDORFER - AVENTAL 60 X 80 CM - UNILESTER 2016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9999G
9008H;IND PELES MINUANO -  AVENTAL 90 X 140 - NAPA PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9008H
9136E;TRAMONTINA - AVENTAL 60 X 62 - NAPA DE VERNIZ PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9136E
9214G;JA VENDRAMIN - AVENTAL - UNILESTER FIT 2050 CINZA - CONF1;ITEM INATIVO UTILIZAR MODELO C9214G
9901G;DCK COM - AVENTAL - UNILIGHT 5070 MARINHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9901G
9562C;CENTRAL COMB - AVENTAL - POLYCOTTON CEDRO 5195 AZ MARINHO - CONF;ITEM INATIVO UTILIZAR MODELO C9562C
9770A;REF UNIDOS - AVENTAL 70 X 90 CM LONA BEGE - CONF;ITEM INATIVO UTILIZAR MODELO C9770A
9680E;SHOPPING CAR - AVENTAL FRENTISTA - UNILESTRE PLUS 2017 - CONF1;ITEM INATIVO UTILIZAR MODELO C9680E
9887G;MAQTRON - AVENTAL 70 X 90 CM LONA BEGE - CONF1;ITEM INATIVO UTILIZAR MODELO C9887G
9863G;POSTO PRINCIPAL - AVENTAL - UNILESTER RIPSTOP 2050 CINZA - CONF1;ITEM INATIVO UTILIZAR MODELO C9863G
9750D;SILVA E FREITAS - AVENTAL 60 X 80 CM - UNITEX 5013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9750D
9904G;IND PELES MINUANO - AVENTAL 140 X 160 - NAPA PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9904G
9791G;POSTO HELLER - AVENTAL 60 X 80 CM - POLYCEDROBRIM 1052 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9791G
9285G;PREF DE MONTE BELO - AVENTAL SANDUICHE - OXFORD AZ NAUTICO - CONF1;ITEM INATIVO UTILIZAR MODELO C9285G
9900B;CADEMA - AVENTAL 100 X 70 CM - UNILEVE 1014 - CONF;ITEM INATIVO UTILIZAR MODELO C9900B
9628A;W SUL - AVENTAL 70 X 100 CM - TERGAL 13 AZ RY - CONF;ITEM INATIVO UTILIZAR MODELO C9628A
9669C;DAGNESE CIA LTDA - AVENTAL 90 X 70 - NYLON 17 PRETO - CONF;ITEM INATIVO UTILIZAR MODELO C9669C
9858F;POSTO SIM - AVENTAL - UNILESTER SOFT 21016 PRETO- CONF1;ITEM INATIVO UTILIZAR MODELO C9858F
9815G;ADAMI - AVENTAL - UNILESTER 2016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9815G
9710G;REDE ASPETRO - AVENTAL 60 X 80 CM - DOPTEL PLUS 001-21 PTO - CONF1;ITEM INATIVO UTILIZAR MODELO C9710G
9235B;ALE - AVENTAL - UNIFORTE 1003 - CONF;ITEM INATIVO UTILIZAR MODELO C9235B
9775E;HOTEL VILLA  MICHELON - AVENTAL 60  X 84 CM - OXFORD BORDO - CONF1;ITEM INATIVO UTILIZAR MODELO C9775E
9774E;HOTEL VILLA  MICHELON - AVENTAL 40  X 54 CM - OXFORD BORDO - CONF1;ITEM INATIVO UTILIZAR MODELO C9774E
9370F;MULTIPETRO - AVENTAL SANDUICHE COM VIES - DOPTEL 1221 MARINHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9370F
9145G;METAIS FEBRAIL - AVENTAL 60 X 120 CM - UNILEVE 1414 AZ RY - CONF1;ITEM INATIVO UTILIZAR MODELO C9145G
9180F;POSTO JARDIM - AVENTAL UNITECH 5064 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9180F
9662G;CINADIS - AVENTAL FRENT -  UNITECH 1016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9662G
9760E;COMB HUBERT - AVENTAL 60 X 100 CM - UNILESTER SOFT 2016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9760E
9107E;MUNICIPIO BOA VISTA - AVENTAL SANDUICHE - DOPTEL PLUS 1213 AZ - CONF;ITEM INATIVO UTILIZAR MODELO C9107E
9106E;MUNICIPIO BOA VISTA - AVENTAL SANDUICHE - DOPTEL PLUS 003-01 BR - CONF;ITEM INATIVO UTILIZAR MODELO C9106E
9118G;COMB MARTINS - AVENTAL - UNILESTER SOFT 2016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9118G
9179G;POSTO ECONORTE - AVENTAL - ESP - UNILESTER 2065 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9179G
9528G;POSTO GALO - AVENTAL - UNILESTER FIT 2018 MARINHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9528G
9583G;TRTICOLA - AVENTAL - DOPTEL PLUS 003-01 BRANCO - CONF1;ITEM INATIVO UTILIZAR MODELO C9583G
9561G;APOIO LOGISTICA - AVENTAL SANDUICHE - DOPTEL 003-01 BRANCO - CONF1;ITEM INATIVO UTILIZAR MODELO C9561G
9082G;JP SANTA LUCIA - AVENTAL - SITEL FILL 309 BORDO - CONF1;ITEM INATIVO UTILIZAR MODELO C9082G
9385F;SINALSUL - AVENTAL SANDUICHE - SARJA 202GR 5280 AZ RY - CONF1;ITEM INATIVO UTILIZAR MODELO C9385F
9838F;POSTO FAZENDINHA - AVENTAL - UNILESTER PLUS 2050 CINZA - CONF1;ITEM INATIVO UTILIZAR MODELO C9838F
9309G;VICTOR BARRETO - AVENTAL - UNILESTER SOFT 2021 CAQUI - CONF1;ITEM INATIVO UTILIZAR MODELO C9309G
