00626ZZ;C00626ZZ;CORTEVA  - COLETE GOLA V - DOPTEL 001-1391 TURQUESA;C00626ZZ;00626ZZ;9;920
9022F;C00626ZZ.0001;CORTEVA  - COLETE GOLA V - DOPTEL 001-1391 TURQUESA - G;C00626ZZ;00626ZZ;9;920
9028H;C9022F;HOSP CIRCULO - COLETE GOLA V - UNISOFT 1233 VERM;C9022F;9022F;9;920
9075D;C9022F.0001;HOSP CIRCULO - COLETE GOLA V - UNISOFT 1233 VERM - G;C9022F;9022F;9;920
9110H;C9028H;JTI - COLETE GOLA V - DOPTEL 001-4117 LARANJA - CONF1;C9028H;9028H;9;920
9111H;C9028H.0001;JTI - COLETE GOLA V - DOPTEL 001-4117 LARANJA - CONF1 - G;C9028H;9028H;9;920
9138H;C9028H.0002;JTI - COLETE GOLA V - DOPTEL 001-4117 LARANJA - CONF1 - M;C9028H;9028H;9;920
9142F;C9075D;OGNIBENE - COLETE GOLA V - DOPTEL 001-3115 VERDE;C9075D;9075D;9;920
9149H;C9075D.0001;OGNIBENE - COLETE GOLA V - DOPTEL 001-3115 VERDE - G;C9075D;9075D;9;920
9172D;C9110H;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-4117 LARANJA;C9110H;9110H;9;920
9172G;C9110H.0001;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-4117 LARANJA - G;C9110H;9110H;9;920
9178F;C9110H.0002;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-4117 LARANJA - GG;C9110H;9110H;9;920
9222F;C9111H;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-3115 VERDE;C9111H;9111H;9;920
9281G;C9111H.0001;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-3115 VERDE - G;C9111H;9111H;9;920
9292G;C9111H.0002;MOET HENNESSY - COLETE GOLA V - DOPTEL PLUS 001-3115 VERDE - GG;C9111H;9111H;9;920
9299G;C9138H;REXNORD - COLETE GOLA V - DOPTEL PLUS 001-3115;C9138H;9138H;9;920
9351E;C9138H.0001;REXNORD - COLETE GOLA V - DOPTEL PLUS 001-3115 - G;C9138H;9138H;9;920
9475F;C9138H.0002;REXNORD - COLETE GOLA V - DOPTEL PLUS 001-3115 - M;C9138H;9138H;9;920
9551G;C9142F;ALL 4 LABELS - COLETE GOLA V - DOPTEL 001-3115 VERDE;C9142F;9142F;9;920
9566G;C9142F.0001;ALL 4 LABELS - COLETE GOLA V - DOPTEL 001-3115 VERDE - G;C9142F;9142F;9;920
9625G;C9142F.0002;ALL 4 LABELS - COLETE GOLA V - DOPTEL 001-3115 VERDE - M;C9142F;9142F;9;920
9644G;C9149H;MOET HENNESSY - COLETE V - DOPTEL PLUS 001--1391 CYAN;C9149H;9149H;9;920
9693F;C9149H.0001;MOET HENNESSY - COLETE V - DOPTEL PLUS 001--1391 CYAN - G;C9149H;9149H;9;920
9707F;C9172D;OGNIBENE - COLETE GOLA V - DOPTEL 4117 LARANJA;C9172D;9172D;9;920
9707G;C9172D.0001;OGNIBENE - COLETE GOLA V - DOPTEL 4117 LARANJA;C9172D;9172D;9;920
9750F;C9172G;MOVEIS 3 IRMAOS - COLETE GOLA PADRE  - UNILUX LIGHT 2107 AMAR;C9172G;9172G;9;920
9751G;C9172G.0001;MOVEIS 3 IRMAOS - COLETE GOLA PADRE  - UNILUX LIGHT 2107 AMAR - G;C9172G;9172G;9;920
9768E;C9178F;JTI - COLETE GOLA V - DOPTEL 001-3115  VERDE;C9178F;9178F;9;920
9771C;C9178F.0001;JTI - COLETE GOLA V - DOPTEL 001-3115  VERDE - G;C9178F;9178F;9;920
9778G;C9222F;POSTO SANTIAGO - COLETE GOLA V - UNISTILL SOFT 6147 VERM;C9222F;9222F;18;920
9793G;C9222F.0001;POSTO SANTIAGO - COLETE GOLA V - UNISTILL SOFT 6147 VERM - G;C9222F;9222F;18;920
9802D;C9281G;AKER - COLETE GOLA V - UNIFIT 5024 LARANJA;C9281G;9281G;9;920
9803D;C9281G.0001;AKER - COLETE GOLA V - UNIFIT 5024 LARANJA;C9281G;9281G;9;920
9812G;C9292G;POSTO DB - COLETE GOLA RED - MALHA DRY 3160 AMAR;C9292G;9292G;18;920
9816G;C9292G.0001;POSTO DB - COLETE GOLA RED - MALHA DRY 3160 AMAR - G;C9292G;9292G;18;920
9825G;C9299G;JTI - COLETE GOLA V - DOPTEL PLUS 3115 VERD;C9299G;9299G;9;920
9826G;C9299G.0001;JTI - COLETE GOLA V - DOPTEL PLUS 3115 VERD - G;C9299G;9299G;9;920
9838G;C9351E;EATON - COLETE GOLA V - UNIQUALITY 1232 LAR AA;C9351E;9351E;9;920
9847F;C9351E.0001;EATON - COLETE GOLA V - UNIQUALITY 1232 LAR AA - G;C9351E;9351E;9;920
9856G;C9475F;CATTALINI - COLETE GOLA V -  CEDRO RIP STOP 5228 AZ;C9475F;9475F;9;920
9859E;C9475F.0001;CATTALINI - COLETE GOLA V -  CEDRO RIP STOP 5228 AZ - G;C9475F;9475F;9;920
9859G;C9551G;POSTO GALO - COLETE GOLA V - DOPTEL 3116 AMARELO;C9551G;9551G;18;920
9864G;C9551G.0001;POSTO GALO - COLETE GOLA V - DOPTEL 3116 AMARELO - G;C9551G;9551G;18;920
9882G;C9566G;POSTO DB - COLETE GOLA RED - MALHA DRY 3160 AMAR;C9566G;9566G;18;920
9902G;C9566G.0001;POSTO DB - COLETE GOLA RED - MALHA DRY 3160 AMAR - G;C9566G;9566G;18;920
9911G;C9625G;JTI - COLETE GOLA V - DOPTEL 001-5114 VERMELHO;C9625G;9625G;9;920
9913G;C9625G.0001;JTI - COLETE GOLA V - DOPTEL 001-5114 VERMELHO - G;C9625G;9625G;9;920
9921D;C9644G;JTI - COLETE GOLA V - DOPTEL 001-3115 AMARELO;C9644G;9644G;9;920
9932G;C9644G.0001;JTI - COLETE GOLA V - DOPTEL 001-3115 AMARELO - G;C9644G;9644G;9;920
9955G;C9693F;VOKKAN - COLETE GOLA V - DOPTEL PLUS 001-4117 LAR;C9693F;9693F;9;920
9958G;C9693F.0001;VOKKAN - COLETE GOLA V - DOPTEL PLUS 001-4117 LAR - G;C9693F;9693F;9;920
