Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
00007ZZ;MUNDIAL - GUARDAPO ML - CONF;300;s;#N/D
00023ZZ;AGRALE - CALCA  ELAST TOTAL PRODUCAO - CITBRIM 8080 CZ - CONF1;107;s;#N/D
00024ZZ;AGRALE - CALCA ELAST TOTAL SOLDADOR - SARJA 250GM 8260 CZA - CONF;107;s;#N/D
00050-CTO;CONSERTO - MUNDIAL - GUARDAPO 3 - 4 MC - CONF;301;s;#N/D
00050ZZ;MUNDIAL - GUARDAPO 3 - 4 MC - CONF;301;s;#N/D
00056ZZ;AGRALE  - CAMISETA GOLA V MC PROD ESP - POLIVIS 039 MESCLA - CONF1;603;s;#N/D
00156ZZ;AGRALE - CAMISETA GOLA V ML PROD ESP - POLIVIS 039 MESCLA - CONF1;603;s;#N/D
00223ZZ;STEMAC - CALCA SOCIAL MASC - UNILESTER 2008 AZ MARINHO - CONF;103;s;#N/D
00224ZZ;00224ZZ - CAMISA SOCIAL OPER MC - STEMAC - OK;205;s;#N/D
00225ZZ;STEMAC - CAMISA SOCIAL ADM ML - UNIOFFICE 3003 AZUL - CONF;205;s;#N/D
00278ZZ;KEPLER - CALCA - UNIFORTE 1014 AZ RY - CONF;101;s;#N/D
00279ZZ;KEPLER - JALECO - CONF;300;s;#N/D
00307ZZ;ALTONA - CALCA COS MEIO ELAST - CONF;101;s;#N/D
00309ZZ;ALTONA - CAMISA ABERTA MC - CONF;200;s;#N/D
00311ZZ;ALTONA - CAMISA ABERTA MC - CONF;200;s;#N/D
00312ZZ;ALTONA - CAMISA  ABERTA ML - CONF;200;s;#N/D
00315ZZ;ALTONA - GUARDA PO MC 3-4 - CONF;301;s;#N/D
00316ZZ;ALTONA - GUARDA PO MC 3-4 - CONF;301;s;#N/D
00317ZZ;ALTONA - GUARDA PO MC - UNILEVE 1021 - CONF;301;s;#N/D
00348ZZ;RANDON - TOUCA PINTOR - UNILEVE 1009 CZ - CONFAA;904;s;#N/D
00358ZZ;CALCA RETART CHAMAS CENCI UNIFORTE FR 1009 CINZA - CONF;109;s;#N/D
00359ZZ;CAMISA RETART CHAMAS CENCI SEM FITA - UNIFORTE FR 1009 CINZA - CONF;209;s;#N/D
00360ZZ;CALCA RETART CHAMAS CENCI SEM FITA - UNIFORTE FR 1014  AZ RY - CONF;109;s;#N/D
00361ZZ;CAMISA RETART CHAMAS CENCI SEM FITA 1014 AZUL;209;s;#N/D
00369ZZ;FRAS-LE - BONE ESP MASC - CONF;907;s;#N/D
00389ZZ;TOUCA MADAL SOLDADOR UNIFORTE VERMELHO 1013;900;s;#N/D
00392ZZ;CALCA RETARD CHAMAS CENCI MEIO ELAST UNISAFE 1009 COM REF VERDE;108;s;#N/D
